"Leading foundation brands in the U.S. 2018, based on sales",
"Leading foundation brands in the United States in 2018, based on sales (in million U.S. dollars)",
,Million U.S. dollars
Maybelline Fit Me Matte + Poreless,58.8
Cover Girl Plus Olay Simply Ageless,56.4
Revlon ColorStay,53.3
L'Oréal True Match,37.2
Cover Girl Clean,31
Maybelline Dream Liquid Mousse,28.1
CoverGirl TruBlend,27
Maybelline Fit Me Dewy Plus Smooth,26.9
Neutrogena Healthy Skin,25.9
L'Oréal Infallible Pro Matte,25.3